"Year","Rank","Book_Title","Author","Rating","Num_Customers_Rated","Price"
2011,69,"Oh, the Places You'll Go!","Dr. Seuss",4.9,16856,8.98
2011,70,"Through My Eyes","Tim Tebow",4.7,813,15.7
2011,71,"The Land of Painted Caves: A Novel (Earth's Children)","Jean M. Auel",3.9,4434,28
2011,72,"The Social Animal: The Hidden Sources of Love, Character, and Achievement","David Brooks",4.3,684,21.53
2011,73,"A Guide to the Project Management Body of Knowledge","Project Management Institute",4.3,611,17.89
2011,74,"Guinness World Records 2012","Guinness World Records",4.5,395,1.5
2011,75,"State of Wonder","Ann Patchett",4.1,2574,25.98
2011,76,"A Visit from the Goon Squad","Jennifer Egan",3.9,1929,12.68
2011,77,"Prevent and Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure","Caldwell B. Esselstyn Jr.",4.6,3773,1.98
2011,78,"Harry Potter Paperback Box Set (Books 1-7)","J. K. Rowling",4.8,30952,40
2011,79,"Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels)","Janet Evanovich",4.5,2825,15
2011,80,"The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide","Sean Covey",4.6,6074,13.66
2011,81,"Delivering Happiness: A Path to Profits, Passion, and Purpose","Tony Hsieh",4.6,2009,23.51
2011,82,"The Lost Hero (Heroes of Olympus, Book 1)","Rick Riordan",4.8,5636,17.97
2011,83,"Room","Emma Donoghue",4.4,7920,11.88
2011,84,"Hotel on the Corner of Bitter and Sweet","Jamie Ford",4.6,4464,13.14
2011,85,"The Tipping Point: How Little Things Can Make a Big Difference","Malcolm Gladwell",4.4,3965,0.94
2011,86,"Emotional Intelligence 2.0","Travis Bradberry",4.5,5981,13.67
2011,87,"Outliers: The Story of Success","Malcolm Gladwell",4.7,13499,7.79
2011,88,"Forks Over Knives: The Plant-Based Way to Health","Gene Stone",4.6,2025,7.86
2011,89,"The Girl Who Played with Fire (Millennium Series)","Stieg Larsson",4.7,7949,0.02
2011,90,"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories","Lisa Lillien",4.4,940,1.61
2011,91,"The Alchemist","Paulo Coelho",4.7,41984,37.9
2011,92,"Getting Things Done: The Art of Stress-Free Productivity","David Allen",4.5,3585,0.35
2011,93,"The Invention of Hugo Cabret","Brian Selznick",4.8,1778,17.29
2011,94,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and…","Gallup",3.5,709,18.12
2011,95,"Drive: The Surprising Truth About What Motivates Us","Daniel H. Pink",4.5,3260,2
2011,96,"Smokin' Seventeen (Stephanie Plum)","Janet Evanovich",4.6,2227,17.99
2011,98,"The Big Short: Inside the Doomsday Machine","Michael Lewis",4.7,3943,1.9
2011,99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","Christopher McDougall",4.7,7586,1.14
2011,100,"The Official Guide for GMAT Review","GMAC (Graduate Management Admission",4.4,254,1.45
2012,1,"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)","E L James",3.9,51218,13.82
2012,2,"Fifty Shades Darker","E L James",4.4,26461,0.32
2012,3,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition)","E L James",4.5,22433,11.73
2012,4,"The Hunger Games (Book 1)","Suzanne Collins",4.7,34038,8.79
2012,5,"StrengthsFinder 2.0","Tom Rath",4,5520,15.79
2012,6,"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)","E L James",4.5,29066,23.71
2012,7,"Catching Fire (The Hunger Games)","Suzanne Collins",4.7,24714,11.57
2012,8,"Mockingjay (The Hunger Games)","Suzanne Collins",4.5,28858,8.79
2012,9,"The Third Wheel (Diary of a Wimpy Kid, Book 7)","Jeff Kinney",4.7,7679,13.95
2012,10,"No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden","Mark Owen",4.6,8491,23.75
2012,11,"The Hunger Games Trilogy Boxed Set (1)","Suzanne Collins",4.8,19781,3.99
2012,12,"Gone Girl","Gillian Flynn",4,59506,18.48
2012,13,"The Mark of Athena (Heroes of Olympus, Book 3)","Rick Riordan",4.8,7743,1.8
2012,14,"The Official SAT Study Guide","The College Board",4.4,1323,0.59
