title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
The Testaments,The Handmaid's Tale #2,4.2,English,"['Fiction', 'Dystopia', 'Science Fiction', 'Feminism', 'Audiobook', 'Canada', 'Adult', 'Literary Fiction', 'Speculative Fiction', 'Novels']",Hardcover,422,Nan A. Talese,September 10th 2019,"['Booker Prize (2019)', 'Locus Award Nominee for Best SF Novel (2020)', 'Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2020)', 'Scotiabank Giller Prize Nominee (2019)', 'Audie Award Nominee for Audiobook of the Year (2020)', 'Prometheus Award Nominee for Best Novel (2020)', 'Goodreads Choice Award for Fiction (2019)']",209221,"['90229', '80222', '30896', '6311', '1563']",96.0,"['Republic of Gilead', 'Toronto, Ontario (Canada)']",,Margaret Atwood,,
The Tipping Point: How Little Things Can Make a Big Difference,,3.97,English,"['Nonfiction', 'Business', 'Psychology', 'Sociology', 'Science', 'Self Help', 'Economics', 'Audiobook', 'Leadership', 'Philosophy']",Paperback,301,Back Bay Books,January 7th 2002,[],689776,"['245885', '254161', '136187', '33268', '20275']",92.0,[],2010.0,Malcolm Gladwell,3965.0,0.94
The Toll,Arc of a Scythe #3,4.26,English,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Audiobook', 'Romance', 'Young Adult Fantasy', 'Teen', 'Science Fiction Fantasy']",Hardcover,625,Simon & Schuster Books for Young Readers,November 5th 2019,['Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2019)'],42734,"['20241', '15135', '5864', '1194', '300']",97.0,[],,Neal Shusterman,,
The Travelling Cat Chronicles,,4.29,English,"['Fiction', 'Japan', 'Contemporary', 'Animals', 'Cats', 'Japanese Literature', 'Audiobook', 'Asia', 'Literary Fiction', 'Adult']",Kindle Edition,288,Viking,October 23rd 2018,['山田風太郎賞 Nominee (2013)'],25484,"['12503', '8733', '3405', '704', '139']",97.0,[],,Hiro Arikawa,,
The Very Hungry Caterpillar,,4.3,English,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Food', 'Counting', 'Storytime', 'Kids', 'Mathematics']",Board book,26,Puffin Books,10/28/94,['California Young Readers Medal Nominee for Primary (1976)'],396110,"['228021', '90789', '53120', '15051', '9129']",94.0,[],2018.0,Eric Carle,30371.0,0.94
The Wright Brothers,,4.14,English,"['History', 'Biography', 'Nonfiction', 'American History', 'Aviation', 'Audiobook', 'Historical', 'Biography Memoir', 'Science', 'Technology']",Hardcover,320,Simon & Schuster,May 5th 2015,"['Goodreads Choice Award Nominee for History & Biography (2015)', 'National Aviation Hall of Fame Combs Gates Award - (2016)']",74798,"['32717', '26918', '10171', '2736', '2256']",93.0,[],2015.0,David McCullough,6495.0,16.74
There Was an Old Lady Who Swallowed a Fly,Classic Books with Holes,4.22,English,"['Picture Books', 'Childrens', 'Poetry', 'Animals', 'Fiction', 'Humor', 'Classics', 'Storytime', 'Music', 'Nursery Rhymes']",Board Book,14,Child's Play International,September 1st 2000,[],29652,"['15727', '6871', '5366', '1236', '452']",94.0,[],,,,
"Thinking, Fast and Slow",,4.16,English,"['Nonfiction', 'Psychology', 'Science', 'Business', 'Economics', 'Self Help', 'Personal Development', 'Philosophy', 'Audiobook', 'Unfinished']",Hardcover,499,"Farrar, Straus and Giroux",October 25th 2011,"['Los Angeles Times Book Prize for Current Interest (2011)', 'Best Book of Ideas Prize Nominee (2012)', 'Samuel Johnson Prize for Non-Fiction Nominee for Longlist (2012)', 'Andrew Carnegie Medal Nominee for Nonfiction (2012)']",309325,"['142837', '99486', '47193', '12650', '7159']",94.0,[],2017.0,Daniel Kahneman,14675.0,15.99
Thirteen,The Winnie Years #4,4.07,English,"['Realistic Fiction', 'Middle Grade', 'Childrens', 'Romance', 'Young Adult', 'Contemporary', 'Chick Lit', 'Fiction', 'Coming Of Age', 'Humor']",Hardcover,244,Dutton Children's Books,February 28th 2008,"[""Children's Choice Book Award for Fifth Grade to Sixth Grade Book of the Year (2009)""]",5070,"['2172', '1561', '962', '273', '102']",93.0,[],,Steve Cavanagh,,
Through My Eyes,,3.94,English,"['Sports', 'Biography', 'Nonfiction', 'Christian', 'Football', 'Autobiography', 'Memoir', 'Inspirational', 'Faith', 'Audiobook']",Hardcover,272,Harper,May 31st 2011,[],10638,"['4017', '3335', '2244', '691', '351']",90.0,[],2011.0,Tim Tebow,813.0,15.7
To Kill a Mockingbird,To Kill a Mockingbird,4.28,English,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']",Paperback,324,Harper Perennial Modern Classics,05/23/06,"['Pulitzer Prize for Fiction (1961)', 'Audie Award for Classic (2007)', 'National Book Award Finalist for Fiction (1961)', 'Alabama Author Award for Fiction (1961)']",4501075,"['2363896', '1333153', '573280', '149952', '80794']",95.0,"['Maycomb, Alabama (United States)']",2018.0,Harper Lee,35375.0,2.2
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",,4.09,English,"['Business', 'Nonfiction', 'Self Help', 'Personal Development', 'Productivity', 'Psychology', 'Leadership', 'Entrepreneurship', 'Health', 'Philosophy']",Kindle Edition,707,Houghton Mifflin Harcourt,December 6th 2016,['Goodreads Choice Award Nominee for Nonfiction (2017)'],30133,"['13199', '9800', '4732', '1569', '833']",92.0,[],2017.0,Timothy Ferriss,5089.0,8.79
Trainspotting,Mark Renton #2,4.07,English,"['Fiction', 'Contemporary', 'Classics', 'Novels', 'Thriller', 'Mystery', 'Scotland', 'Crime', 'Drama', 'Dark']",Paperback,430,Vintage,07/11/94,[],153108,"['59931', '57342', '25411', '6724', '3700']",93.0,"['London, England', 'Edinburgh, Scotland', 'Scotland']",,Irvine Welsh,,
Turtles All the Way Down,,3.95,English,"['Young Adult', 'Fiction', 'Contemporary', 'Mental Health', 'Romance', 'Audiobook', 'Realistic Fiction', 'Mental Illness', 'Mystery', 'Teen']",Hardcover,286,Dutton Books for Young Readers,October 10th 2017,"['Lincoln Award Nominee (2020)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2017)', 'Alabama Author Award for Young Adult (2020)', 'Hea Noorteraamat (2018)']",314236,"['104353', '117614', '69075', '17866', '5328']",93.0,"['Indianapolis, Indiana (United States)', 'Indiana (United States)']",2017.0,John Green,5894.0,9.98
Untamed,"Splintered #1.5, 3.5",4.13,English,"['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Fairy Tales', 'Magic', 'Short Stories', 'Paranormal', 'Fiction', 'Audiobook']",ebook,288,Amulet Books,December 15th 2015,[],4886,"['2216', '1456', '915', '231', '68']",94.0,[],2020.0,Glennon Doyle,32702.0,15.89
Watchmen,Watchmen #1-12,4.36,English,"['Graphic Novels', 'Comics', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Comic Book', 'Classics', 'Superheroes', 'Dystopia']",Paperback,416,DC Comics,10/28/05,"['Hugo Award for Other Forms (1988)', 'Locus Award for Best Non-Fiction/Art (1988)', 'Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988)', ""Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989)"", 'Urhunden Prize for Foreign Album (1992)', 'Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988)', 'IGN Award for Best Collection (2005)']",487212,"['278346', '136403', '51447', '13455', '7561']",96.0,"['New York City, New York (United States)']",,Alan Moore,,
We Should All Be Feminists,,4.45,English,"['Nonfiction', 'Feminism', 'Essays', 'Audiobook', 'Politics', 'Womens', 'Africa', 'Social Justice', 'Adult', 'Gender']",Kindle Edition,52,Vintage,July 29th 2014,[],174513,"['102779', '51988', '15688', '2796', '1262']",98.0,[],,Chimamanda Ngozi Adichie,,
What Do People Do All Day?,,4.26,English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Classics', 'Kids', 'Young Adult', 'American', 'Juvenile', 'School']",Hardcover,64,Random House,March 12th 1979,[],11928,"['6370', '3036', '1926', '415', '181']",95.0,[],,Richard Scarry,,
What Happened,,3.92,English,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'Audiobook', 'History', 'Feminism', 'Biography Memoir', 'Autobiography', 'Womens']",Kindle Edition,512,Simon & Schuster,September 12th 2017,['Goodreads Choice Award for Memoir & Autobiography (2017)'],53165,"['17257', '21237', '10002', '2556', '2113']",91.0,[],2017.0,Hillary Rodham Clinton,5989.0,18.99
What I Know for Sure,,4.17,English,"['Nonfiction', 'Self Help', 'Audiobook', 'Biography', 'Memoir', 'Inspirational', 'Personal Development', 'Spirituality', 'Autobiography', 'Essays']",Hardcover,228,Flatiron Books,September 2nd 2014,['Audie Award for Personal Development (2015)'],28539,"['13052', '9245', '4693', '1091', '458']",95.0,[],,Oprah Winfrey,,
What We Talk About When We Talk About Love,,4.15,English,"['Short Stories', 'Fiction', 'Classics', 'Literature', 'American', 'Contemporary', 'Literary Fiction', '20th Century', 'The United States Of America', 'Love']",Paperback,159,Vintage Books,June 1989,[],47065,"['19963', '17248', '7400', '1893', '561']",95.0,[],,Raymond Carver,,
When Breath Becomes Air,,4.36,English,"['Nonfiction', 'Memoir', 'Biography', 'Medicine', 'Medical', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Philosophy', 'Science']",Kindle Edition,208,Random House,January 19th 2016,"['Pulitzer Prize Nominee for Biography or Autobiography (2017)', 'Wellcome Book Prize Nominee (2017)', 'Goodreads Choice Award for Memoir & Autobiography (2016)', 'Waterstones Book of the Year Nominee (2016)', 'Book of the Month Book of the Year Award Nominee (2016)', 'Jan Michalski Prize Nominee for Longlist (2017)']",415362,"['230251', '125568', '43622', '10017', '5904']",96.0,[],,Paul Kalanithi,,
Where the Crawdads Sing,,4.47,English,"['Fiction', 'Historical Fiction', 'Mystery', 'Audiobook', 'Adult', 'Book Club', 'Romance', 'Adult Fiction', 'Historical', 'Coming Of Age']",ebook,384,G.P. Putnam’s Sons,August 14th 2018,"['Edgar Award Nominee for Best First Novel by an American Author (2019)', 'Goodreads Choice Award Nominee for Historical Fiction (2018)']",975284,"['599977', '270508', '78092', '18729', '7978']",97.0,"['North Carolina Coast (United States)', 'North Carolina (United States)']",2019.0,Delia Owens,126302.0,6.08
Where's Spot?,Spot the Dog,4.1,English,"['Picture Books', 'Childrens', 'Animals', 'Dogs', 'Fiction', 'Storytime', 'Classics', 'Spanish Literature', 'Juvenile', 'Family']",Paperback,24,Puffin,October 27th 1983,[],16901,"['7764', '4410', '3559', '910', '258']",93.0,[],,Eric Hill,,
"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, and Baking Biscuits",,3.63,English,"['Nonfiction', 'Memoir', 'Audiobook', 'Cookbooks', 'Biography', 'Food', 'Cooking', 'Autobiography', 'Biography Memoir', 'Adult']",Kindle Edition,299,Touchstone,September 18th 2018,['Goodreads Choice Award Nominee for Nonfiction (2018)'],22951,"['5346', '7488', '7072', '2277', '768']",87.0,[],2018.0,Reese Witherspoon,2877.0,13.87
White Fragility: Why It's So Hard for White People to Talk About Racism,,4.3,English,"['Nonfiction', 'Race', 'Social Justice', 'Anti Racist', 'Politics', 'Audiobook', 'Sociology', 'History', 'Psychology', 'Adult']",Paperback,169,Beacon Press,June 26th 2018,[],95405,"['47999', '33654', '9954', '2203', '1595']",96.0,[],2020.0,Robin DiAngelo,27495.0,9.6
Wild: From Lost to Found on the Pacific Crest Trail,,4.01,English,"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Adventure', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Nature', 'Book Club']",Hardcover,315,Knopf,March 20th 2012,"['Oregon Book Award Nominee for Creative Nonfiction (Finalist) (2013)', 'Indies Choice Book Award for Adult Nonfiction (2013)', 'Puddly Award for Nonfiction (2013)', 'Goodreads Choice Award for Memoir & Autobiography (2012)']",615431,"['221539', '234006', '116838', '30551', '12497']",93.0,['Oregon (United States)'],2012.0,Cheryl Strayed,18573.0,20.09
"Will You Please Be Quiet, Please?",,4.24,English,"['Short Stories', 'Fiction', 'Classics', 'American', 'Literature', '20th Century', 'The United States Of America', 'Contemporary', 'Literary Fiction', 'Americana']",Paperback,181,Vintage Random House,2003,['National Book Award Finalist for Fiction (1977)'],14136,"['6543', '5159', '1879', '422', '133']",96.0,[],,Raymond Carver,,
Wonder,Wonder #1,4.44,English,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",Hardcover,315,Alfred A. Knopf,02/14/12,"['Josette Frank Award (2013)', 'Texas Bluebonnet Award Nominee (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013)"", ""South Carolina Book Award for Children's Book (2014)"", ""Dorothy Canfield Fisher Children's Book Award (2014)"", ""Charlie May Simon Children's Book Award (2015)"", 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2014)', 'New Mexico Land of Enchantment Award for Children (2014)', 'California Young Readers Medal for Intermediate (2015)', 'James Cook Book Award Nominee (2013)', ""Judy Lopez Memorial Award for Children's Literature (2013)"", ""Louisiana Young Readers' Choice for Grades 3-5 (2015)"", 'NAIBA Book of the Year for Middle Readers (2012)', ""Waterstones Children's Book Prize for 5-12 years (2013)"", 'Washington State Sasquatch Award Nominee (2015)', 'Bluestem Book Award (2014)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'Carnegie Medal Nominee (2013)', ""North Carolina Children's Book Award (2014)"", 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)', 'Rhode Island Children’s Book Award (2014)', 'FAB Award Nominee (2014)', ""Rebecca Caudill Young Readers' Book Award (2014)"", 'Hea Lasteraamat (2014)']",733486,"['441112', '202834', '65871', '15235', '8434']",97.0,"['Upper Manhattan, New York (United States)', 'New York City, New York (United States)', 'United States of America', 'New York State (United States)']",,R. J. Palacio,,
Wreck This Journal,,4.14,English,"['Nonfiction', 'Art', 'Humor', 'Self Help', 'Journal', 'Writing', 'Journaling', 'Crafts', 'Reference', 'Adventure']",Paperback,192,Perigee Trade,June 5th 2007,[],14726,"['7255', '3890', '2424', '733', '424']",92.0,[],,Keri Smith,,
Year One,Chronicles of The One #1,4.01,English,"['Fantasy', 'Fiction', 'Dystopia', 'Paranormal', 'Romance', 'Urban Fantasy', 'Post Apocalyptic', 'Magic', 'Science Fiction', 'Audiobook']",Hardcover,419,St. Martin's Press,December 5th 2017,['Goodreads Choice Award Nominee for Fantasy (2018)'],67245,"['27696', '21804', '11198', '3881', '2666']",90.0,"['New York City, New York (United States)']",,Nora Roberts,,
Yes Please,,3.83,English,"['Nonfiction', 'Memoir', 'Humor', 'Audiobook', 'Biography', 'Comedy', 'Autobiography', 'Biography Memoir', 'Feminism', 'Adult']",Hardcover,329,Dey St.,October 28th 2014,"['Audie Award for Humor (2015)', 'Grammy Award Nominee for Best Spoken Word Album (2016)', 'Australian Book Industry Award (ABIA) Nominee for International Book (2015)', 'Goodreads Choice Award for Humor (2014)']",430084,"['133258', '148607', '104845', '29072', '14302']",90.0,"['Burlington, Massachusetts (United States)', 'Chicago, Illinois (United States)', 'New York City, New York (United States)']",2014.0,Amy Poehler,4487.0,22.25
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,,3.95,,"['Self Help', 'Nonfiction', 'Personal Development', 'Audiobook', 'Psychology', 'Business', 'Inspirational', 'Adult', 'Unfinished', 'Spirituality']",Paperback,244,Running Press Adult,April 23rd 2013,['Audie Award for Personal Development (2014)'],142136,"['56892', '42514', '26703', '10241', '5786']",89.0,[],2019.0,Jen Sincero,20403.0,1.4
