title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
Red Queen,The Chronicles of Alice #2,3.83,English,"['Fantasy', 'Horror', 'Retellings', 'Fiction', 'Fairy Tales', 'Adult', 'Young Adult', 'Magic', 'Dark', 'Adventure']",Paperback,291,Ace,July 12th 2016,[],7529,"['1928', '2947', '2143', '449', '62']",93.0,[],,Victoria Aveyard,,
Revolting Rhymes,,4.14,English,"['Poetry', 'Childrens', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Picture Books', 'Fairy Tales', 'Young Adult', 'Middle Grade']",Paperback,48,Puffin,April 28th 2003,['Vlag en Wimpel Penseeljury (1983)'],18036,"['7865', '5992', '3287', '689', '203']",95.0,[],,Roald Dahl,,
Rework,,3.95,English,"['Business', 'Nonfiction', 'Entrepreneurship', 'Management', 'Productivity', 'Self Help', 'Leadership', 'Buisness', 'Personal Development', 'Technology']",Hardcover,279,Crown Business,March 9th 2010,['Goodreads Choice Award Nominee for Nonfiction (2010)'],138357,"['54533', '42801', '26650', '8766', '5607']",90.0,[],2010.0,Jason Fried,2667.0,21.78
Room,,4.06,English,"['Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Book Club', 'Audiobook', 'Thriller', 'Drama', 'Realistic Fiction', 'Crime']",Kindle Edition,321,"Little, Brown and Company",09/13/10,"['Booker Prize Nominee (2010)', 'Orange Prize Nominee for Fiction Shortlist (2011)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)"", 'ALA Alex Award (2011)', 'Indies Choice Book Award for Fiction (2011)', 'Bord Gáis Energy Irish Book Award for Hughes & Hughes Irish Novel of the Year (2010)', 'Canadian Booksellers Association Libris Award for Fiction Book (2011)', 'Lincoln Award Nominee (2014)', 'Galaxy National Book Award for WHSmith Paperback of the Year (2011)', ""Commonwealth Writers' Prize for Best Book in Caribbean and Canada (2011)"", 'Trillium Book Award Nominee for English-language (2011)', 'UC Book of the Year (2014)', 'Eason Novel of the Year (2010)', ""Rogers Writers' Trust Fiction Prize (2010)"", 'OLA Evergreen Award (2011)', 'Goodreads Choice Award for Fiction (2010)', 'International Dublin Literary Award Nominee (2012)']",714395,"['270390', '275433', '121971', '32204', '14397']",93.0,[],2011.0,Emma Donoghue,7920.0,11.88
Room on the Broom,,4.43,English,"['Picture Books', 'Halloween', 'Childrens', 'Animals', 'Fiction', 'Witches', 'Fantasy', 'Poetry', 'Holiday', 'Storytime']",Paperback,32,Puffin Books,August 25th 2003,['Blue Peter Book Award for Best Book to Read Aloud (2003)'],16957,"['10250', '4407', '1778', '323', '199']",97.0,[],,Julia Donaldson,,
Safe Haven,,4.21,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Love', 'Audiobook']",Kindle Edition,353,Grand Central Publishing,September 14th 2010,['Goodreads Choice Award Nominee for Romance (2010)'],334532,"['157048', '109549', '53353', '10945', '3637']",96.0,"['Southport, North Carolina (United States)']",2010.0,Nicholas Sparks,8952.0,17.89
Sapiens: A Brief History of Humankind,,4.42,English,"['Nonfiction', 'History', 'Science', 'Philosophy', 'Anthropology', 'Audiobook', 'Sociology', 'Historical', 'Psychology', 'Evolution']",Paperback,498,Harvill Secker,2014,"['Royal Society of Biology General Book Prize Nominee (2015)', 'J. A. Hollon palkinto (2017)']",502425,"['295807', '143811', '45188', '11210', '6409']",96.0,[],2019.0,Yuval Noah Harari,32903.0,9.42
Sarah's Key,,4.16,English,"['Historical Fiction', 'Fiction', 'Holocaust', 'Historical', 'World War II', 'France', 'War', 'Book Club', 'Adult', 'Adult Fiction']",Hardcover,294,St. Martins Press,06/28/07,[],419544,"['176239', '159657', '64355', '14599', '4694']",95.0,"['Paris (France)', 'Paris (France)']",2010.0,Tatiana de Rosnay,3951.0,10.48
Serpent & Dove,Serpent & Dove #1,4.12,English,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Witches', 'Magic', 'Fiction', 'Paranormal', 'New Adult', 'Audiobook']",Hardcover,513,HarperTeen,September 3rd 2019,['Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Debut Novel (2019)'],62049,"['26176', '22216', '9428', '3106', '1123']",93.0,[],,Shelby Mahurin,,
Sh*t My Dad Says,Sh*t My Dad Says #1,3.98,English,"['Humor', 'Nonfiction', 'Memoir', 'Comedy', 'Biography', 'Audiobook', 'Adult', 'Family', 'Biography Memoir', 'Autobiography']",Hardcover,159,It Books,May 4th 2010,"['Goodreads Choice Award Nominee for Debut Author, Humor  (2010)']",142571,"['52444', '49395', '29940', '7672', '3120']",92.0,[],2010.0,Justin Halpern,1397.0,0.99
