title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated
"The Social Animal: The Hidden Sources of Love, Character, and Achievement",Missing,3.86,English,"['Nonfiction', 'Psychology', 'Sociology', 'Science', 'Philosophy', 'Self Help', 'Social Science', 'Audiobook', 'Politics', 'Business']",Hardcover,424,Random House,2011,"['6542', '7674', '4971', '1512', '514']",90,Missing,2011,David Brooks,684
What Do People Do All Day?,Missing,4.26,English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Classics', 'Kids', 'Young Adult', 'American', 'Juvenile', 'School']",Hardcover,64,Random House,1979,"['6370', '3036', '1926', '415', '181']",95,Missing,Missing,Richard Scarry,Missing
When Breath Becomes Air,Missing,4.36,English,"['Nonfiction', 'Memoir', 'Biography', 'Medicine', 'Medical', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Philosophy', 'Science']",Kindle Edition,208,Random House,2016,"['230251', '125568', '43622', '10017', '5904']",96,Missing,2016,Paul Kalanithi,16217
The Litigators,Missing,3.81,English,"['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Crime', 'Audiobook', 'Suspense', 'Mystery Thriller', 'Law', 'Adult Fiction']",Audio,Missing,Random House,2011,"['14854', '27176', '18148', '3411', '686']",94,"['Chicago, Illinois (United States)']",2011,John Grisham,6870
"Oh, the Places You'll Go!",Missing,4.35,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult', 'Inspirational', 'Kids', 'Humor']",Hardcover,44,Random House,1990,"['194372', '77411', '40683', '10548', '5437']",95,Missing,2011,Dr. Seuss,16856
12 Rules for Life: An Antidote to Chaos,Missing,3.94,English,"['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Religion', 'Unfinished', 'Science', 'Politics']",Hardcover,409,Random House,2018,"['42381', '29881', '17108', '7652', '5448']",87,Missing,2018,Jordan B. Peterson,27211
Brief Answers to the Big Questions,Missing,4.3,English,"['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Audiobook', 'Popular Science', 'Astronomy', 'Space', 'Adult', 'Essays']",Paperback,330,Random House,2018,"['16392', '12967', '4046', '647', '250']",97,Missing,Missing,Stephen Hawking,Missing
And the Mountains Echoed,Missing,04.05,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Novels', 'Book Club', 'Literary Fiction', 'Historical', 'Drama']",Hardcover,404,Riverhead Books,2013,"['107293', '121481', '58470', '11635', '3052']",95,"['Kabul (Afghanistan)', 'California (United States)', 'Paris (France)', 'Tinos (Greece)', 'Afghanistan']",2013,Khaled Hosseini,12984
Drive: The Surprising Truth About What Motivates Us,Missing,3.95,English,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Personal Development', 'Management', 'Education', 'Productivity', 'Science']",Hardcover,242,Riverhead Books,2009,"['31763', '36052', '19115', '4849', '2605']",92,Missing,2010,Daniel H. Pink,3260
The Girl on the Train,Missing,3.93,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction']",Hardcover,325,Riverhead Books,2015,"['689572', '802603', '444058', '123620', '51483']",92,"['London, England', 'England']",2015,Paula Hawkins,82313
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Missing,3.62,English,"['Cookbooks', 'Nonfiction', 'Health', 'Cooking', 'Reference', 'Food', 'Self Help', 'Diets', 'Nutrition', 'Fitness']",Paperback,158,Rockridge Press,2016,"['1822', '1832', '1343', '651', '511']",81,Missing,2017,Amy Ramos,18251
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Missing,3.95,English,"['Self Help', 'Nonfiction', 'Personal Development', 'Audiobook', 'Psychology', 'Business', 'Inspirational', 'Adult', 'Unfinished', 'Spirituality']",Paperback,244,Running Press Adult,2013,"['56892', '42514', '26703', '10241', '5786']",89,Missing,2017,Jen Sincero,20404
